year,id,regionName,Gdp0101,Gdp0102,Gdp0103,Gdp0106,Gdp0113,Gdp0114,Gdp0115,Gdp0116,Ftec0101,Ftec0102,Ftec0103,Ifa0101,Ifa0102,Ifa0104,Pop01,Pop04,Pop05,Pop30,Tpt0101,Tpt0103,Tpt0104,bm,ccnl,egdp,hdmsp,hviirs,viirs,viirsl
1993,230000,黑龙江省,1203.22,198.41,649.7,350.24,16.5569,54.2162,29.2269,3306,330012,168677,161335,,,,3640,,,,5262,48023,,,361578.3692,57712226378,744406.7255,,,
1993,370000,山东省,2779.49,596.63,1355.71,818.03,21.5361,48.9361,29.5278,3212,727936,419987,307949,892.48,,,8642,,,,2048,46033,,,570670.4168,83303685699,1116973.608,,,
1994,120000,天津市,833.6,46.53,404.08,274.53,23.5,45.2,31.3,7751,554529,269121,285408,315.97,,,935,,,,4033,4156,,,145585.958,22210543893,202469.2,,,
1994,410000,河南省,2224.43,546.68,1071.74,606.01,24.6604,47.766,27.5736,2467,163550,102380,61170,628.03,,,9027,,,,3350,47704,,,393814.99,56667392488,571056.6471,,,
1994,640000,宁夏回族自治区,133.97,29.93,55.78,48.26,21.9727,41.1052,36.9221,2740,17294,10923,6371,60.98,,,504,,,,453,8324,,,42844.67559,9399223557,63188.17647,,,
1994,230000,黑龙江省,1618.63,316.32,852.97,449.34,19.0168,52.9877,27.9955,4390,242759,124272,118487,,,,3672,,,,5262,48356,,,379947.99,61834399219,686101.0353,,,
1994,350000,福建省,1685.34,372.58,739.52,573.24,22.069,43.8442,34.0868,5193,1218953,643020,575933,538.86,,,3183,,,,1024,44608,,,175751.9049,34520769724,257649.4275,,,
1994,360000,江西省,948.16,314.35,338.23,295.58,33.1537,35.6722,31.1741,2376,130702,80539,50163,237.45,,,4015,,,,1644,34556,,,66166.9989,19442415338,108060.7961,,,
1994,450000,广西壮族自治区,1241.83,357.74,485.57,398.52,27.5359,39.2067,33.2574,2675,303700,129038,174662,382.59,,,4493,,,,2336,39550,,,111770.8412,27198827021,176398.7059,,,
1994,320000,江苏省,4057.39,671.94,2186.77,1198.68,16.8576,53.896,29.2464,5801,1175685,668450,507235,1331.13,,,7021,,,,747,25891,,,486538.6973,95225661681,607722.9882,,,
1994,500000,重庆市,725.14,,,,6.4167,55.7244,37.8589,2541,,,,,,,,,,,,,,,34437.80223,11741415180,69201.51373,,,
1994,460000,海南省,330.95,107.55,83.66,139.74,31.9658,25.0979,42.9363,4702,276046,95298,180748,220.25,,,711,,,,214,13014,,,50098.60289,8003181711,85937.86667,,,
1994,110000,北京市,1084.03,74.77,499.84,509.42,6.8974,46.1094,46.9932,10240,2927426,834205,2093221,202.2,,,1125,,,,874.6,11532,,,216308.5038,30660303310,262282.5059,,,
1994,440000,广东省,4240.56,694.65,2139.89,1406.02,14.9869,48.782,36.2311,6530,9665215,5019850,4645365,2141.15,,,6689,,,,1725,75716,,,761358.5644,1.32E+11,997323.4941,,,
1994,610000,陕西省,816.58,181.78,336.46,298.34,20.4772,43.4311,36.0917,2424,142016,95790,46226,283.29,,,3481,,,,2121,39059,,,162855.5139,36245408393,278142.4549,,,
1994,420000,湖北省,1878.65,501.44,812.56,564.65,29.4805,38.6632,31.8557,2991,274586,171560,103026,593.07,,,5719,,,,1978,48349,,,155467.0893,32117573950,250643.7882,,,
1994,330000,浙江省,2666.86,443.87,1388.06,834.93,16.3111,51.9886,31.7007,6201,898715,608499,290216,1006.39,,,4294,,,,921,33438,,,243635.6444,53722067663,348912.3804,,,
1994,530000,云南省,973.97,237.51,429.66,306.8,24.0145,43.5748,32.4107,2515,163181,96526,66655,321.73,,,3939,,,,1642,65578,,,121957.5552,38617699136,208334.8706,,,
1994,150000,内蒙古自治区,681.92,208.53,261.79,211.6,30.0017,36.6184,33.3799,3094,92482,47441,45041,250.99,,,2260,,,,5733,44202,,,189847.4099,80124149777,305180.7922,,,
1994,310000,上海市,1971.92,48.59,1143.24,780.09,2.4641,57.976,39.5599,13807,1806221,915722,890499,1123.29,,,1356,,,,246,3721,,,157899.8047,26626738232,182144.4039,,,
1994,520000,贵州省,521.17,183.52,195.76,141.89,34.9998,37.143,27.8572,1527,46872,30408,16464,140.95,,,3458,,,,1408,32398,,,48270.53185,16138560813,97717.50588,,,
1994,210000,辽宁省,2461.78,318.95,1259.05,883.78,12.958,51.1455,35.9006,6103,1023753,605320,418433,888,,,4067,,,,3758,42763,,,370001.9742,49255996667,581217.8353,,,
1994,140000,山西省,853.77,123.85,440.81,289.11,14.9808,47.9726,37.0467,2729,83887,65397,18490,290.9,,,3045,,,,2331,32693,,,482988.0003,56065560409,700723.0706,,,
1994,220000,吉林省,936.78,259.4,398.83,278.55,27.6625,42.3267,30.0108,3657,279080,136597,142483,302.47,,,2574,,,,3487,29581,,,198398.828,31670497676,355027.3216,,,
1994,620000,甘肃省,451.66,103.81,199.32,148.53,22.8985,43.7975,33.3039,1921,50286,34687,15599,159.05,,,2378,,,,1883.6,34984,,,91354.69189,31809541118,150611.9373,,,
1994,130000,河北省,2187.49,451.91,1053.12,682.46,20.6588,48.1428,31.1983,3439,315682,230266,85416,709.19,,,6388,,,,3844,50496,,,580494.265,69742746967,900351.902,,,
1994,430000,湖南省,1694.42,532.89,618.07,543.46,32.296,35.7402,31.9639,2630,215111,154338,60773,420.89,,,6355,,,,2273,58803,,,76826.83375,24665277575,149583.7059,,,
1994,370000,山东省,3872.18,775.03,1900.46,1196.69,20.1594,49.1983,30.6422,4441,961950,586536,375414,1108,,,8671,,,,2048,50225,,,706676.3994,91312747001,1046705.922,,,
1994,630000,青海省,138.24,31.71,58.35,48.18,23.4104,41.7486,34.841,2942,15253,12627,2626,45.2,,,474,,,,1097,17089,,,21354.24897,33328676814,32571.01176,,,
1994,340000,安徽省,1488.47,336.72,744.16,407.59,25.6947,41.0412,33.2642,2257,156644,104641,52003,399.54,,,5955,,,,1930,30876,,,161429.3622,33172863103,222197.2745,,,
1994,540000,西藏自治区,45.84,21.1,7.92,16.82,45.9665,17.1342,36.8993,1964,64736,4487,60249,21.17,,,236,,,,,21842,,,3536.120045,50123849106,5967.4,,,
1994,650000,新疆维吾尔自治区,673.68,187.69,265.38,220.61,28.3383,37.6117,34.05,3888,85832,42264,43568,285.48,,,1632,,,,2038,28611,,,207852.8445,1.03E+11,329614.2471,,,
1994,510000,四川省,2777.88,788.39,1166.22,823.27,29.8475,39.1109,31.0416,2481,309850,180430,129420,573.43,,,11214,,,,,,,,108874.1469,43302775017,217249.4471,,,
